"title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Abandon",2002,99,25000000,4.7,2364,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"Abbott and Costello Go to Mars",1953,81,754000,5.2,455,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,"",0,0,1,0,0,0,0
"Abbott and Costello Meet Captain Kidd",1952,75,450000,5.3,255,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,"",0,0,1,0,0,0,0
"Abby",1974,89,400000,5.9,75,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"",0,0,0,0,0,0,0
"Abby Singer",2003,79,1500,3.5,39,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,45.5,"",0,0,0,0,0,0,0
"Aberdeen",2000,106,6500000,7.3,644,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"",0,0,0,1,0,0,0
"Able Edwards",2004,87,30000,6.2,24,14.5,4.5,4.5,0,0,14.5,14.5,14.5,24.5,14.5,"",0,0,0,1,0,0,0
"Able's House Is Green, The",2003,13,6800,9.4,5,0,0,0,0,0,0,0,24.5,24.5,64.5,"",0,0,0,1,0,0,1
"About Schmidt",2002,125,30000000,7.3,23279,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,1,1,0,0,0
"About a Boy",2002,101,27000000,7.5,18318,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"PG-13",0,0,1,1,0,0,0
"Abschied",1930,80,15000,6.7,14,4.5,4.5,0,4.5,4.5,14.5,14.5,4.5,24.5,14.5,"",0,0,0,0,0,0,0
"Absolon",2003,96,8000000,4.1,548,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Absolute Power",1997,121,50000000,6.4,7995,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Absolution",2001,23,13000,1.6,8,14.5,14.5,0,0,0,0,14.5,14.5,14.5,34.5,"",0,0,0,0,0,0,1
"Abyss, The",1989,171,69500000,7.4,21987,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG-13",1,0,0,1,0,0,0
"Accident",1967,105,600000,7.1,340,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"",0,0,0,1,0,0,0
"Accountant, The",1999,50,5000,6.3,19,4.5,0,4.5,4.5,4.5,0,24.5,4.5,24.5,34.5,"",1,0,0,0,0,0,0
"Ace Ventura: Pet Detective",1994,86,12000000,6.2,20705,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Ace Ventura: When Nature Calls",1995,90,30000000,4.9,15161,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"Ace in the Hole",1951,111,1821052,7.9,1097,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"",0,0,0,1,0,0,0
"Across the Wide Missouri",1951,78,5000000,6.1,209,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,0,0,0,0,0
"Across to Singapore",1928,86,290000,6.4,53,0,0,0,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,0,1,0,0,0
"Actors Anonymous: The Truth Behind the Dream",2003,60,30000,3.2,8,45.5,14.5,0,0,0,0,14.5,0,0,24.5,"",0,0,0,0,1,0,0
"Acts of Betrayal",1997,90,3000000,4.6,94,4.5,14.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0
"Adam Had Four Sons",1941,81,488000,6.2,76,4.5,0,0,4.5,14.5,24.5,34.5,14.5,4.5,4.5,"",0,0,0,1,0,1,0
"Adaptation.",2002,114,19000000,7.9,25140,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,1,1,0,0,0
"Addams Family, The",1991,99,38000000,6.4,11549,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,1,0,0,0,0
"Adventure",1945,135,3500000,5.4,106,4.5,4.5,4.5,14.5,24.5,14.5,24.5,4.5,4.5,4.5,"",0,0,1,1,0,1,0
"Adventure's End",1937,60,90000,3.3,16,24.5,14.5,4.5,0,14.5,14.5,0,14.5,4.5,14.5,"",0,0,0,0,0,0,0
"Adventures of Baron Munchausen, The",1988,125,46630000,6.8,7927,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,1,0,0,0,0
"Adventures of Bob & Doug McKenzie: Strange Brew, The",1983,90,4000000,6.6,4556,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,"",0,0,1,0,0,0,0
"Adventures of Dollie, The",1908,12,0,5.1,34,4.5,4.5,4.5,4.5,24.5,14.5,4.5,24.5,4.5,14.5,"",1,0,0,0,0,0,1
"Adventures of Elmo in Grouchland, The",1999,89,17000000,5.5,420,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"",0,0,1,0,0,0,0
"Adventures of Huck Finn, The",1993,108,6500000,5.9,1134,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"",0,0,0,1,0,0,0
"Adventures of Lucky Pierre, The",1961,70,7100,1.9,15,44.5,4.5,4.5,4.5,4.5,4.5,0,14.5,0,4.5,"",0,0,1,0,0,0,0
"Adventures of Marco Polo, The",1938,100,2000000,5.8,136,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Adventures of Pinocchio, The",1996,92,25000000,5.6,577,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"",0,0,0,0,0,0,0
"Adventures of Pluto Nash, The",2002,95,100000000,3.9,2543,24.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Adventures of Robin Hood, The",1938,102,1900000,8.2,7359,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"PG",1,0,0,0,0,1,0
"Adventures of Rocky & Bullwinkle, The",2000,88,76000000,4.3,4815,14.5,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG",0,1,1,0,0,0,0
"Affairs of Cellini, The",1934,80,549370,5.8,43,0,4.5,4.5,14.5,4.5,24.5,24.5,14.5,4.5,4.5,"",0,0,1,0,0,0,0
"Affairs with Bears",2002,27,7000,8.3,6,14.5,0,0,0,0,0,0,0,14.5,64.5,"",0,0,0,0,1,0,1
"Affliction",1997,114,6000000,6.9,3679,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",0,0,0,1,0,0,0
"After Hours",1985,96,4500000,7.4,5630,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"",0,0,1,0,0,0,0
"After Image",2001,92,1200000,3.9,60,24.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,0,0,0,0,0
"After Midnight",1989,90,3000000,5.1,160,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"After Sex",2000,96,5000000,4.5,205,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"",0,0,1,1,0,1,0
"After the Sunset",2004,97,58000000,6,3431,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"Afterschool Delight",2003,10,5000,6.3,5,0,0,0,0,0,64.5,24.5,24.5,0,0,"",0,0,1,0,0,0,1
"Age of Innocence",1977,101,850000,6.1,47,4.5,0,0,4.5,24.5,4.5,14.5,14.5,4.5,24.5,"",0,0,0,0,0,0,0
"Age of Innocence, The",1993,139,34000000,7.1,6049,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"",0,0,0,1,0,1,0
"Agent Cody Banks",2003,102,26000000,5.5,2655,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG",1,0,1,0,0,0,0
"Agent Cody Banks 2: Destination London",2004,100,26000000,3.8,919,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG",1,0,1,0,0,0,0
"Agent on Ice",1985,96,2500000,4.4,15,14.5,0,4.5,4.5,14.5,14.5,4.5,14.5,14.5,14.5,"",1,0,0,0,0,0,0
"Aida degli alberi",2001,75,7000000,4.3,16,24.5,4.5,0,14.5,4.5,0,14.5,24.5,0,4.5,"",0,1,0,0,0,0,0
"Aimee Semple McPherson",2004,112,500000,8.4,8,14.5,0,0,0,0,0,0,14.5,24.5,45.5,"",0,0,0,1,0,0,0
"Air Bud",1997,98,3000000,4.7,1276,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG",0,0,1,1,0,0,0
"Air Force One",1997,124,85000000,6.3,26156,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0
"Air Marshal",2003,90,500000,3,81,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",1,0,0,0,0,0,0
"Airborne",1993,91,2600000,5.2,1047,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"",0,0,1,0,0,0,0
"Airmail",1932,84,305000,6,76,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"",0,0,0,1,0,0,0
"Airplane!",1980,88,3500000,7.8,23369,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"",0,0,1,0,0,0,0
"Airport",1970,137,10000000,6.4,2918,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"",0,0,0,1,0,0,0
"Airport 1975",1974,107,3000000,4.9,1385,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"",1,0,0,1,0,0,0
"Akasha",2001,82,1500,7.3,29,24.5,0,4.5,0,0,0,4.5,14.5,34.5,24.5,"",0,0,0,0,0,0,0
"Akumulator 1",1994,102,2000000,7.1,272,4.5,0,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,"",0,0,1,0,0,0,0
"Aladdin",1992,90,28000000,7.6,22499,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"",0,1,1,0,0,0,0
"Alamo, The",1960,192,12000000,6.6,2083,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"",1,0,0,1,0,0,0
"Alamo, The",2004,137,95000000,5.9,3060,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0
"Alan Smithee Film: Burn Hollywood Burn, An",1997,86,10000000,3.2,1262,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Albino Alligator",1996,97,5000000,6,2077,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Alex's Apartment",1992,80,45000,6.8,6,0,0,0,0,14.5,34.5,14.5,14.5,14.5,0,"",0,0,0,0,0,0,0
"Alexander",2004,175,150000000,5.5,11254,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Alexander's Ragtime Band",1938,106,2000000,7.5,204,0,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,"",0,0,0,1,0,0,0
"Alferd Packer: The Musical",1996,97,125000,7,2298,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"R",0,0,1,0,0,1,0
"Alfie",1966,114,800000,7.1,1644,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"",0,0,1,1,0,0,0
"Alfie",2004,103,60000000,6,3492,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,1,1,0,0,0
"Ali",2001,165,107000000,6.4,9294,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Alias",2002,98,1500000,5.7,266,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,"",0,0,0,1,0,1,0
"Alice",1990,102,12000000,6.4,1706,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"",0,0,1,1,0,1,0
"Alice Doesn't Live Here Anymore",1974,112,85000,7.3,2231,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"",0,0,0,1,0,0,0
"Alice in Wonderland",1951,75,3000000,7.2,4656,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,1,1,0,0,0,0
"Alice's Adventures in Wonderland",1972,95,2500000,5.6,165,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,24.5,"",0,0,0,0,0,0,0
"Alien",1979,116,11000000,8.3,63400,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,0,0,0,0,0
"Alien Abduction",2005,90,600000,1.9,73,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,0,0,0,0,0
"Alien Dead",1980,69,12000,2.4,112,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Alien Escape",1997,85,1000000,5.6,23,14.5,0,4.5,4.5,0,14.5,14.5,0,14.5,34.5,"R",0,0,0,0,0,0,0
"Alien Nation",1988,91,16000000,6,2171,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,0,1,0,0,0
"Alien: Resurrection",1997,116,70000000,6,24358,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Aliens",1986,154,18500000,8.3,63961,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",1,0,0,0,0,0,0
"Alive",1993,127,32000000,6.7,5786,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"",1,0,0,1,0,0,0
"All About the Benjamins",2002,95,14000000,5.4,1250,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",1,0,1,0,0,0,0
"All Quiet on the Western Front",1930,147,1200000,8.2,6835,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"",1,0,0,1,0,0,0
"All This, and Heaven Too",1940,141,1370000,7.4,441,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"",0,0,0,1,0,1,0
"All Through the Night",1942,107,750000,7,361,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"",1,0,1,1,0,0,0
"All the President's Men",1976,138,8500000,8,12724,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,14.5,"",0,0,0,1,0,0,0
"All the Pretty Horses",2000,116,45000000,5.6,3133,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"All the Queen's Men",2001,105,25000000,5,353,4.5,4.5,14.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"PG-13",1,0,1,1,0,0,0
"All the Real Girls",2003,108,1000000,6.8,1745,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"R",0,0,0,1,0,1,0
"All the Stage Is a World",2005,89,12000,7,7,14.5,0,0,0,14.5,0,14.5,24.5,0,24.5,"",0,0,1,1,1,0,0
"All the Vermeers in New York",1990,87,250000,5.9,126,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,"",0,0,1,1,0,1,0
"Alligator",1980,89,1000000,5.5,1032,4.5,4.5,4.5,14.5,14.5,14.5,24.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"Alligator II: The Mutation",1991,92,3000000,2.7,282,34.5,24.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Almost Famous",2000,162,60000000,8,38648,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"R",0,0,1,1,0,0,0
"Almost You",1985,96,1000000,4.9,44,4.5,4.5,14.5,4.5,24.5,14.5,14.5,4.5,4.5,4.5,"",0,0,1,1,0,0,0
"Aloha, Bobby and Rose",1975,85,60000,5,90,4.5,4.5,4.5,14.5,14.5,4.5,14.5,14.5,4.5,24.5,"",0,0,0,1,0,0,0
"Alone in the Dark",2005,96,20000000,2.1,2880,64.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"Along Came Polly",2004,90,42000000,5.8,9785,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0
"Along Came a Spider",2001,104,28000000,6.1,9456,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Along for the Ride",2000,99,150000,7.6,15,0,0,0,0,0,0,24.5,34.5,0,44.5,"",0,0,0,0,0,0,0
"Alpha Dead",2004,11,5000,8,6,14.5,0,0,0,0,0,0,14.5,14.5,45.5,"",0,0,0,0,0,0,1
"Alpha Incident, The",1978,95,200000,4,40,24.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,0,"",0,0,0,1,0,0,0
"Als je begrijpt wat ik bedoel",1983,84,2000000,7.5,224,4.5,0,4.5,0,4.5,14.5,24.5,34.5,14.5,14.5,"",0,1,0,0,0,0,0
"Always",1989,106,29500000,6.2,4913,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,0,1,0,1,0
