"pdias","longindex","durflow","height","begflow","mycor","vegaer","vegsout","autopoll","insects","wind","lign","piq","ros","semiros","leafy","suman","winan","monocarp","polycarp","seasaes","seashiv","seasver","everalw","everparti","elaio","endozoo","epizoo","aquat","windgl","unsp"
0.33,0,2,"2","6","2","0","2","0","0","4","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0"
5.84,0,2,"2","4","2","0","0","0","4","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1"
0.1,0.8125,3,"3","6","2","0","2","1","3","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0"
140,0,2,"7","5","2","0","0","0","4","0","1","1","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0"
1.04,0.928571429,3,"3","7","2","0","0","3","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1"
0.38,0.522727273,4,"3","6","2","0","0","1","3","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
179.39,0,2,"6","6","2","0","0","2","3","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0"
1.99,0.741935484,7,"2","5","2","0","0","3","2","0","0","0","0","0","1","1","1","0","1","0","0","0","1","0","0","0","0","0","0","1"
3.73,0,2,"4","5","0","0","1","0","0","3","0","0","0","0","1","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0"
1.08,0.25,2,"3","5","1","0","0","2","0","3","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
0.81,0.470588235,3,"4","6","2","0","0","0","0","4","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1"
0.11,0.866666667,3,"2","5","0","0","0","0","4","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","0"
0.26,0.78125,5,"2","6","2","0","0","3","0","3","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0"
0.3,0.888888889,12,"2","3","2","0","0","3","0","1","0","0","0","1","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","1"
0.2,0.2,3,"4","6","1","0","0","0","0","3","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
0.3,0.584615385,3,"2","5","1","0","1","2","0","3","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
0.17,0.823529412,1,"2","6","1","1","0","0","0","3","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
0.28,0.444444444,4,"2","6","2","2","0","0","3","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1"
0.58,0.666666667,4,"1","2","2","2","0","1","3","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
1.22,1,2,"2","3","2","0","0","0","4","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0"
1684.3,0,3,"6","3","1","0","2","1","3","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
1.74,0.393939394,5,"2","5","2","1","0","0","4","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0"
1.82,0.723684211,3,"2","5","2","2","0","1","3","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0"
1.5,0.480769231,2,"2","5","0","0","1","0","0","4","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0"
1.42,0.5,2,"4","5","0","0","0","2","0","2","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0"
2.93,0.764705882,3,"3","6","1","0","0","0","0","4","0","0","0","1","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","1"
89.23,0.5,2,"7","6","1","0","0","2","1","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0"
0.09,0.9,4,"3","6","1","0","2","0","3","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
0.4,0.789473684,6,"4","6","2","0","0","3","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0"
1.55,0.4,3,"3","6","2","0","2","1","3","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
3.11,0,3,"3","4","0","2","0","1","3","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
0.48,0.802631579,12,"2","3","0","0","0","3","3","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1"
0.61,0.472222222,8,"3","3","2","0","0","0","3","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0"
0.76,0.5,3,"3","7","2","1","2","1","3","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1"
9,0,2,"8","2","2","0","1","0","1","3","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0"
0.19,0.795918367,5,"5","6","0","0","2","0","1","3","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0"
0.22,0.4,3,"2","4","1","0","2","2","3","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1"
39.44,0.45,3,"5","5","2","0","0","3","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1"
21.4,0.111111111,4,"4","5","2","0","2","2","3","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1"
3,0.333333333,2,"2","4","2","0","0","2","3","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0"
